lambda,K,mu_s,mu_f,ks,kf,backup_strategy,backup_p,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted,s1_util,s2_util,s1_system_timeavg,s1_queue_timeavg,s2_system_timeavg,s2_queue_timeavg,backups_written,cost_per_arrival
2.0,1,0.5,1.0,5,0,none,0.0,6339,1606,4733,520,520,520,1032,0.7466477362359993,0.32378580323785805,0.32378580323785805,12.859865880776637,0.9926090125104433,0.3363891596241363,5.428118170364263,4.379956412569097,0.37074860433004525,-0.14621755996820618,0.0,2.898075071451215
2.0,1,0.5,1.0,5,0,random,0.5,6356,1614,4742,533,533,282,1028,0.7460667086217747,0.3302354399008674,0.17472118959107807,12.980527430918858,0.994211758730909,0.33203335626523695,5.4889360821264255,4.427929089703049,0.3933938191951225,-0.14929592576630904,84.55555555555556,2.7812151670871677
2.0,1,0.5,1.0,5,0,systematic,1.0,6339,1606,4733,520,520,0,1032,0.7466477362359993,0.32378580323785805,0.0,12.859865880776637,0.9926090125104433,0.3363891596241363,5.428118170364263,4.379956412569097,0.37074860433004525,-0.14621755996820618,172.66666666666666,2.6433232993377604
2.0,1,0.5,1.0,5,2,none,0.0,6267,1626,4641,100,100,100,1468,0.7405457156534226,0.06150061500615006,0.06150061500615006,12.879951088002192,0.9933449019294157,0.4662668279262273,5.439680786372092,4.365596507051369,0.8485339164303111,0.17993968113184045,0.0,2.566430965971781
2.0,1,0.5,1.0,5,2,random,0.5,6335,1690,4645,112,112,61,1519,0.7332280978689818,0.06627218934911243,0.03609467455621302,12.5025718107061,0.994408358040464,0.49242899232439324,5.407224567239186,4.303547962165475,0.8911090420371421,0.21396746604102257,88.55555555555556,2.5553810222182824
2.0,1,0.5,1.0,5,2,systematic,1.0,6267,1626,4641,100,100,0,1468,0.7405457156534226,0.06150061500615006,0.0,12.879951088002192,0.9933449019294157,0.4662668279262273,5.439680786372092,4.365596507051369,0.8485339164303111,0.17993968113184045,175.0,2.578234044128351
2.0,1,0.5,2.0,0,0,none,0.0,6279,1255,5024,113,113,113,1132,0.800127408823061,0.0900398406374502,0.0900398406374502,2.6403392960268413,0.7891202712992283,0.17661244903132467,0.708318347481186,-0.1444981348872736,0.26823317022561266,-0.15371998929240477,0.0,2.6942114789358453
2.0,1,0.5,2.0,0,0,random,0.5,6327,1240,5087,124,124,73,1106,0.8040145408566461,0.1,0.05887096774193548,2.711854586470064,0.7983089703237465,0.17218858807641482,0.7113191969167573,-0.13494279831321512,0.29441729262716687,-0.15713010830545343,67.0,2.6993404778032097
2.0,1,0.5,2.0,0,0,systematic,1.0,6279,1255,5024,113,113,0,1132,0.800127408823061,0.0900398406374502,0.0,2.6403392960268413,0.7891202712992283,0.17661244903132467,0.708318347481186,-0.1444981348872736,0.26823317022561266,-0.15371998929240477,138.44444444444446,2.6818958249614773
2.0,1,0.5,2.0,0,2,none,0.0,6277,1246,5031,0,0,0,1235,0.8014975306675163,0.0,0.0,2.5610055751338163,0.7935489359003747,0.19170492266533556,0.7028246201556767,-0.14336764941938956,0.2959602146530396,-0.14917393965427955,0.0,2.6074226616751766
