seed,policy,dam_tb,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
12,fifo,,PREPA,800.0,505,474,31,158,158,158,313,22.497164602410944,20.952319890558968
12,fifo,20.0,ING,800.0,2432,791,5,0,0,0,791,7.330809690587837,19.659280145070028
12,fifo,20.0,PREPA,800.0,473,471,2,0,0,0,469,7.138810023248875,32.98070394686384
12,priority_ing,,ING,800.0,2341,2181,160,827,827,827,1324,15.85300172872916,13.731800743412762
12,priority_ing,,PREPA,800.0,488,454,34,134,134,134,293,45.18339574072991,196.5727001756339
12,split_servers,,ING,800.0,2363,2206,157,851,851,851,1333,17.70090800564444,17.76312990861435
12,split_servers,,PREPA,800.0,446,423,23,142,142,142,251,44.992852734564146,269.2826559863652
13,fifo,,ING,800.0,2401,2224,177,887,887,887,1290,20.169913362863266,22.768004985715024
13,fifo,,PREPA,800.0,491,462,29,144,144,144,307,21.292070664813494,22.94062350503378
13,fifo,20.0,ING,800.0,2400,812,0,15,15,15,797,8.069956315040335,24.620766741465108
13,fifo,20.0,PREPA,800.0,528,528,0,3,3,3,522,8.032212473241124,25.03298411789896
13,priority_ing,,ING,800.0,2435,2261,174,895,895,895,1334,15.845948525128119,12.681406207209832
13,priority_ing,,PREPA,800.0,498,469,29,155,155,155,283,48.26639914813903,243.2885039722673
13,split_servers,,ING,800.0,2382,2039,343,612,612,612,1395,15.065171006935067,13.497888209748238
13,split_servers,,PREPA,800.0,482,415,67,131,131,131,264,60.02474635542177,186.8342384235579
14,fifo,,ING,800.0,2439,2224,215,890,890,890,1307,21.770297082689723,25.52782813462159
14,fifo,,PREPA,800.0,457,404,53,125,125,125,274,22.599094173956615,23.72901327901538
14,fifo,20.0,ING,800.0,2385,734,0,0,0,0,734,6.127014314101451,13.527698352230086
14,fifo,20.0,PREPA,800.0,463,463,0,0,0,0,462,6.630701373502974,17.1104731528772
14,priority_ing,,ING,800.0,2418,2256,162,922,922,922,1300,16.329484632835825,18.820654749335176
14,priority_ing,,PREPA,800.0,442,412,30,139,139,139,263,53.058035843910126,233.05010352129108
14,split_servers,,ING,800.0,2362,2232,130,831,831,831,1363,18.311351949283555,19.451051297328245
14,split_servers,,PREPA,800.0,457,429,28,157,157,157,252,39.488548963289446,173.3470442142563
15,fifo,,ING,800.0,2398,2265,133,995,995,995,1224,21.221831990631472,29.308589162396252
15,fifo,,PREPA,800.0,464,424,40,144,144,144,269,22.03223851216076,37.653268215062965
15,fifo,20.0,ING,800.0,2293,779,0,1,1,1,778,7.36371611537618,18.907045569532805
15,fifo,20.0,PREPA,800.0,481,481,0,0,0,0,479,7.169018589588253,26.296863330845557
15,priority_ing,,ING,800.0,2308,2146,162,853,853,853,1260,16.41868801298462,16.108224044611664
15,priority_ing,,PREPA,800.0,509,481,28,160,160,160,297,46.62167027710272,190.7097433514559
15,split_servers,,ING,800.0,2334,2113,221,755,755,755,1321,16.33225917717628,21.187134316934046
15,split_servers,,PREPA,800.0,481,437,44,155,155,155,258,47.8617524628178,394.54056823965544
