K,mu_f,ks,kf,tb,policy,population,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,refused_stage1_rate,blank_pages_rate_given_accepted,permanent_blank_rate_given_accepted,mean_sojourn_weighted
2,1.0,10,30,10.0,split_servers,PREPA,2603,2098,505,187,187,187,1797,0.1940069150979639,0.08913250714966635,0.08913250714966635,34.05018198812165
2,1.0,10,30,30.0,fifo,ING,12662,3064,977,793,793,793,2148,0.0771600063181172,0.2588120104438642,0.2588120104438642,26.395687237639986
2,1.0,10,30,30.0,fifo,PREPA,2511,2327,184,247,247,247,2005,0.07327757865392275,0.10614525139664804,0.10614525139664804,26.126260766328624
2,1.0,10,30,30.0,priority_ing,ING,12657,3250,859,926,926,926,2205,0.06786758315556608,0.28492307692307695,0.28492307692307695,24.847606839008325
2,1.0,10,30,30.0,priority_ing,PREPA,2511,2320,191,251,251,251,1973,0.0760653126244524,0.10818965517241379,0.10818965517241379,28.758816130838323
2,1.0,10,30,30.0,split_servers,ING,12708,2411,1703,216,216,216,2105,0.13401007239534152,0.08958938199917046,0.08958938199917046,21.30604473066419
2,1.0,10,30,30.0,split_servers,PREPA,2523,2021,502,83,83,83,1825,0.19896948077685295,0.04106877783275606,0.04106877783275606,28.549316492284085
2,1.0,10,30,,fifo,ING,12654,8084,4570,4575,4575,4575,3290,0.361150624308519,0.5659327065809006,0.5659327065809006,33.996317261211026
2,1.0,10,30,,fifo,PREPA,2525,1577,948,683,683,683,841,0.37544554455445545,0.4331008243500317,0.4331008243500317,35.09203269338066
2,1.0,10,30,,priority_ing,ING,12685,7963,4722,4329,4329,4329,3435,0.3722506897910918,0.5436393319100842,0.5436393319100842,30.37412246348028
2,1.0,10,30,,priority_ing,PREPA,2554,1567,987,669,669,669,813,0.3864526233359436,0.4269304403318443,0.4269304403318443,48.25236281248913
2,1.0,10,30,,split_servers,ING,12540,6274,6266,2461,2461,2461,3581,0.49968102073365234,0.39225374561683135,0.39225374561683135,34.322394308099106
