seed,K,mu_f,ks,kf,tb,policy,population,horizon,arrivals,accepted,refused_stage1,stage2_refused,blank_pages,permanent_blanks,completed,mean_sojourn,var_sojourn
2,2,1.0,10,5,30.0,fifo,PREPA,600.0,380,354,26,62,62,62,281,7.363617675209837,17.833935974871867
3,2,1.0,10,5,30.0,fifo,ING,600.0,1808,402,189,173,173,173,229,8.725908617040368,12.957872536718508
3,2,1.0,10,5,30.0,fifo,PREPA,600.0,364,322,42,52,52,52,269,7.254746796624874,17.248587526329782
4,2,1.0,10,5,30.0,fifo,ING,600.0,1837,438,162,206,206,206,232,8.118422374166837,13.732427933579325
4,2,1.0,10,5,30.0,fifo,PREPA,600.0,361,326,35,42,42,42,274,7.478813591061207,18.110517160081205
5,2,1.0,10,5,30.0,fifo,ING,600.0,1773,423,167,178,178,178,245,8.009560321700336,14.929983979450439
5,2,1.0,10,5,30.0,fifo,PREPA,600.0,382,346,36,70,70,70,272,7.349962487852334,13.180455399287746
6,2,1.0,10,5,30.0,fifo,ING,600.0,1802,402,186,219,219,219,183,9.923372321550191,8.334833422808842
6,2,1.0,10,5,30.0,fifo,PREPA,600.0,373,335,38,57,57,57,271,8.928508585038612,20.83993300335408
7,2,1.0,10,5,30.0,fifo,ING,600.0,1813,415,169,160,160,160,255,8.027732792734959,13.515639471169274
7,2,1.0,10,5,30.0,fifo,PREPA,600.0,390,335,55,50,50,50,275,6.244487509212727,13.649009109379733
1,2,1.0,10,5,30.0,priority_ing,ING,600.0,1795,456,151,259,259,259,197,7.205378329907828,12.131756498089795
1,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,396,359,37,59,59,59,288,9.161065238935498,34.67297968420868
2,2,1.0,10,5,30.0,priority_ing,ING,600.0,1809,502,114,283,283,283,219,6.469293838268954,12.52766632210962
2,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,351,329,22,52,52,52,263,9.040003921133565,31.25039583500192
3,2,1.0,10,5,30.0,priority_ing,ING,600.0,1835,476,114,246,246,246,230,6.461977982090738,16.669988724401694
3,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,339,322,17,63,63,63,256,8.037607825434453,24.50460159993093
4,2,1.0,10,5,30.0,priority_ing,ING,600.0,1840,434,145,211,211,211,223,6.8873299891349555,12.373924232920608
4,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,403,364,39,44,44,44,310,10.416487273531242,36.88235994543754
5,2,1.0,10,5,30.0,priority_ing,ING,600.0,1811,473,157,241,241,241,232,6.892851982433556,15.545750658849444
5,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,367,349,18,61,61,61,277,8.992842214935258,29.175445149888805
6,2,1.0,10,5,30.0,priority_ing,ING,600.0,1764,454,116,236,236,236,218,7.094448845291261,13.53184493902781
6,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,374,351,23,66,66,66,284,10.014048398762045,31.88267307018886
7,2,1.0,10,5,30.0,priority_ing,ING,600.0,1850,465,104,230,230,230,235,6.562132828222619,13.311209755836039
7,2,1.0,10,5,30.0,priority_ing,PREPA,600.0,392,349,43,52,52,52,292,10.254830468022927,40.24110299489979
1,2,1.0,10,5,30.0,split_servers,ING,600.0,1833,326,253,103,103,103,223,7.657427778113125,17.490787694043924
1,2,1.0,10,5,30.0,split_servers,PREPA,600.0,354,295,59,42,42,42,246,15.12823107152943,64.38255436670431
2,2,1.0,10,5,30.0,split_servers,ING,600.0,1788,335,260,153,153,153,182,7.344928621484412,13.370157981421743
2,2,1.0,10,5,30.0,split_servers,PREPA,600.0,381,284,97,57,57,57,224,19.902322657642294,84.36499941575383
3,2,1.0,10,5,30.0,split_servers,ING,600.0,1826,315,296,100,100,100,215,7.144178554517169,14.778875605828924
3,2,1.0,10,5,30.0,split_servers,PREPA,600.0,371,282,89,36,36,36,234,16.405252383837134,93.82969386063498
4,2,1.0,10,5,30.0,split_servers,ING,600.0,1807,348,231,123,123,123,225,7.409696326341846,12.016440858018145
4,2,1.0,10,5,30.0,split_servers,PREPA,600.0,368,302,66,53,53,53,249,15.279113437764318,49.995013935793885
5,2,1.0,10,5,30.0,split_servers,ING,600.0,1803,337,250,141,141,141,196,7.026247137200199,10.828694351172375
5,2,1.0,10,5,30.0,split_servers,PREPA,600.0,373,316,57,56,56,56,252,15.400260394928699,52.97839901991601
6,2,1.0,10,5,30.0,split_servers,ING,600.0,1801,310,279,121,121,121,189,7.041625024116065,12.30606934447379
